,Overall,Bib,Name,Time
0,1,1,Scott Wietecha,02:28:16
1,2,3,Garang Madut,02:29:52
2,3,33442,Kevin Fink,02:38:59
3,4,33441,Andrew Hodges,02:43:59
4,5,30028,Nicholas Aubert,02:48:11
5,6,30038,Dan Shafer,02:49:00
6,7,30099,Jacob Rainey,02:51:46
7,8,33712,Ry Glover,02:53:17
8,9,11,Stella Christoforou,02:53:44
9,10,30052,Tyler Hallenbeck,02:56:21
10,11,30057,Jansen Hein,02:56:23
11,12,33448,Christopher Harrington,02:56:48
12,13,30050,James Nabholz,02:57:03
13,14,30039,Jared Daedler,02:57:36
14,15,30096,Nicholas Tseffos,02:59:35
15,16,30107,Thomas Aliff,02:59:41
16,17,30040,Jeremy Riehm,03:01:41
17,18,30058,Greg Jones,03:02:12
18,19,30135,Jack Burger,03:02:17
19,20,30048,Edgar Garza,03:05:40
20,21,10,Heather Crowe,03:07:46
21,22,33452,Cristina Noble,03:08:21
22,23,30153,Dan Williams,03:09:33
23,24,30117,Eddie Bell,03:09:39
24,25,30395,Emanuel Loreant,03:10:23
25,26,30095,Jeffrey Olive,03:10:28
26,27,30211,Jacqueline Gottuso,03:10:50
27,28,30249,Eric Shrestha,03:11:27
28,29,30059,Brandon Foley,03:12:17
29,30,30131,Matt Hunt,03:12:34
30,31,30281,Thomas Cirillo,03:12:37
31,32,30132,Shawn Husband,03:14:03
32,33,30129,Mudhillun Muqaribu,03:15:11
33,34,33449,Scott Eiselt,03:15:22
34,35,30069,Kevin Laury,03:15:33
35,36,33460,Mahlon Hellman,03:16:17
36,37,30399,Patrick Sweatt,03:16:32
37,38,30221,Michelle Fogle,03:17:44
38,39,30182,Tatsuki Koyama,03:18:24
39,40,33485,David Jones,03:18:26
40,40,30051,Aaron O'Keeffe,03:18:26
41,42,30227,Dalton Stubbs,03:18:31
42,43,30084,Andrew Morris,03:19:04
43,44,33472,Nick Pitts,03:19:05
44,45,30239,Michael Ibanez,03:19:15
45,46,30253,Katelyn Storey,03:19:26
46,47,33451,Kevin Walker,03:19:28
47,48,30064,Ubaldo Hurtado,03:19:58
48,49,30126,Vic Ciancetta,03:20:07
49,50,30164,Jay Mitchell,03:20:17
50,51,30329,Donald Paull,03:21:06
51,52,30183,Andrew Thai,03:21:15
52,53,30870,Tim Roetman,03:21:25
53,54,30103,Ayub Odera,03:21:35
54,55,30165,Ryan Folkert,03:21:53
55,56,30120,Sean Cooper,03:21:58
56,57,30123,Javier Rusinque,03:22:02
57,58,30063,Todd Reynolds,03:22:04
58,59,30187,Robert Harris,03:22:23
59,60,30217,John Willis,03:22:27
60,61,30497,Armando Galvez Rico,03:22:30
61,62,30179,Daniel Salmon,03:22:43
62,63,30391,Kevin Harris,03:22:48
63,64,30175,Vincent Manier,03:23:18
64,65,30198,Alan Arpon,03:23:19
65,66,30252,Diego Ruiz,03:23:22
66,67,30667,Jeff Woody,03:23:27
67,68,30176,Matt Pesavento,03:23:44
68,69,33474,Gilbert Varela,03:23:46
69,70,30152,Sam Miller,03:24:21
70,71,30367,Andy Kump,03:24:33
71,72,30580,Aly Schenavar,03:25:26
72,73,31026,Sonny Tufano,03:25:43
73,74,30140,Brian Wright,03:26:10
74,75,30385,James Lowe,03:26:15
75,76,33468,Samuel Smith,03:26:24
76,77,30236,Jonathan Lister,03:26:47
77,78,30208,Susie Aames,03:27:13
78,79,30528,Chris Norris,03:27:30
79,80,30201,Will Westhoff,03:27:42
80,81,30409,Matthew Pires,03:27:48
81,82,30092,Brad Whitley,03:27:55
82,83,30251,Beau Baggett,03:28:27
83,84,30821,Steven Vargas,03:28:36
84,85,33651,Jeremy Lister,03:28:40
85,86,30316,Devin Ray,03:28:52
86,86,30608,Benjamin French,03:28:52
87,88,30439,Lydia Calahan,03:28:58
88,89,30326,Katherine Ainsworth,03:29:00
89,90,30378,Josh Leitner,03:29:07
90,91,30412,Leonardo Sánchez,03:29:20
91,92,33476,Charles Sisk,03:29:49
92,93,30303,Tess Vorselen,03:29:58
93,94,30495,Craig Findlay,03:30:05
94,95,31053,Jillian Roberts,03:30:30
95,96,30181,Charles Shackelford,03:30:31
96,97,30216,Maura Stacey,03:30:36
97,98,30557,Carmen Camp,03:30:40
98,99,31022,Blake Phillips,03:30:43
99,100,33495,Grant Stubblefield,03:30:53
100,101,30512,Jennifer Murray,03:30:54
101,102,30163,Peter Shreffler,03:31:04
102,103,30707,Ellen Williamson,03:31:05
103,103,31240,Adam Klenk,03:31:05
104,105,31444,Kyle Young,03:31:28
105,106,30394,Jason Toot,03:31:50
106,107,30145,Eric Parker,03:32:07
107,108,32051,Alexandra Vincenti,03:32:09
108,109,30375,Dan Duffy,03:32:10
109,110,30434,Emma Locke,03:32:13
110,111,30203,Joe Wiltsey,03:32:26
111,112,30392,Patrick Madl,03:32:34
112,113,30254,Rachel Polk,03:32:37
113,114,30451,Carl Ostrowski,03:32:46
114,115,30411,Vicente Rodriguez,03:32:47
115,116,30623,Kayla Whitley,03:33:22
116,117,30406,Katie Schubauer,03:33:45
117,117,33715,Alia Karaman,03:33:45
118,119,30090,Brian Germano,03:33:50
119,120,30098,Edwin Reyes,03:33:52
120,121,33473,Mark Clyburn,03:33:58
121,122,33487,Brian Steel,03:34:37
122,123,30060,Tien Le,03:34:43
123,124,30356,Drew Belnick,03:34:55
124,125,30056,Kevin Mckenna,03:35:09
125,126,30174,Nicholas Avello,03:35:12
126,127,30247,Olivia Dibiasio,03:35:14
127,128,30502,Kristen Bednar,03:35:45
128,129,30157,Matthew Mehalko,03:35:49
129,130,30638,Garrett Bauman,03:35:52
130,131,30323,Brian Hoffart,03:35:55
131,132,30314,Trever Griswold,03:36:01
132,133,30704,Nicole Gillis,03:36:03
133,134,30207,Meredith Smith,03:36:09
134,135,30506,Wesley King,03:36:11
135,135,30381,Scott Wloszczynski,03:36:11
136,137,30590,Daniel Pluard,03:36:13
137,138,30210,Molly Cohen,03:36:16
138,138,30190,Ryan Kelch,03:36:16
139,140,30309,Beau Westpfahl,03:36:21
140,141,30222,Brad Barcusky,03:36:22
141,142,30484,Amanda Sonnenberg,03:36:28
142,143,30515,Bob Cline,03:36:29
143,144,30450,Danica Kusanovic,03:36:35
144,145,30603,Matt Rubino,03:36:53
145,146,30088,Vance Benson,03:36:54
146,147,30134,Alexander Mclain,03:36:58
147,148,30427,Virgilio Larralde,03:37:06
148,148,30071,Kyle Miller,03:37:06
149,150,30458,Julie Boll,03:37:09
150,151,30160,Bonnie Ritchotte,03:37:25
151,152,30141,Dwayne Novak,03:37:34
152,153,33517,Kurtis Kowalski,03:38:04
153,154,30186,Paul Carlson,03:38:16
154,155,33486,Benjamin Mccullough,03:38:46
155,156,30680,Erik Stephan,03:39:03
156,157,30750,Nathaniel Szidik,03:39:04
157,158,30336,William Moore,03:39:19
158,159,30233,Daryl Davis,03:39:33
159,160,30294,Lori Knights,03:39:44
160,161,30100,Dan Moffit,03:39:45
161,162,33514,Sean Meier,03:39:48
162,163,30301,Hunter Clarke,03:39:49
163,164,30605,Jacob Crowell,03:39:55
164,165,30758,Elliot Heath,03:40:13
165,166,30293,William Bradshaw,03:40:16
166,167,31065,Adele Unneberg,03:40:34
167,168,30498,Gabrielle Giessen,03:40:42
168,169,30662,Eric Ellwood,03:40:57
169,170,30468,Joan Dinsmore,03:40:58
170,171,30319,Ryan Velau,03:41:08
171,172,30433,Darrell Black,03:41:14
172,173,30658,Amy Hartlieb,03:41:19
173,174,30579,Scott Smith,03:41:24
174,175,30681,Stuart Mcdonald,03:41:30
175,176,30154,Joshua Knickerbocker,03:41:31
176,177,30080,Kyle Milden,03:41:37
177,178,30661,Jamie Cotter,03:41:44
178,179,30445,Jessica Scott,03:41:55
179,179,30522,Samantha Harrison,03:41:55
180,181,30362,Ryan Goldfine,03:42:17
181,181,33454,Alex Judd,03:42:17
182,183,33644,Christina Rivera,03:42:29
183,184,30317,Ben Mclusky,03:42:34
184,185,30471,Kathleen Bond,03:42:46
185,186,32122,Jeff Watson,03:42:53
186,187,30987,Brandon Bernhardt,03:42:57
187,188,30425,Emily Stewart,03:42:58
188,189,30223,Katie Van Arendonk,03:43:01
189,190,33489,Vance Poss,03:43:02
190,191,31001,John Denoma,03:43:09
191,192,31199,James Booth,03:43:33
192,193,30087,Paul Hanly,03:43:35
193,194,33458,Patrick Hogeboom,03:43:36
194,195,30578,Erin Glazier,03:43:48
195,196,30379,Grant Nicholson,03:43:51
196,197,33464,David Harvey,03:43:53
197,198,30449,Eduardo Pi,03:43:59
198,199,31388,Pablo Marchant,03:44:19
199,200,33471,Ron Chapman,03:44:26
200,201,30133,Colton Staab,03:44:31
201,202,30475,Jason Pettit,03:44:35
202,203,30300,Maria Jugan,03:44:41
203,204,33656,Matt Hawkins,03:44:53
204,205,31008,Steven Jones,03:44:55
205,206,30350,Marlon Quitos,03:44:57
206,207,30127,Kenneth Roberts,03:45:03
207,208,30699,Michael Hunt,03:45:04
208,209,30105,Nick Eccher,03:45:12
209,210,30641,Mark Davenport,03:45:16
210,211,30185,Lorena Jaime,03:45:18
211,212,30668,Pat Simmons,03:45:24
212,213,30460,Kevin Gerteisen,03:45:27
213,214,30390,Michael Obermayer,03:45:28
214,215,33550,Bennett Diaz,03:45:54
215,216,30305,Melissa Kuzma,03:46:01
216,217,30755,Morganne Cook,03:46:07
217,218,31235,Severine Mutti,03:46:13
218,218,30150,Andy Casto-Waters,03:46:13
219,220,31871,Holly Barrett,03:46:22
220,221,30168,Jesse Fenton,03:46:24
221,222,30053,Ian Gilchrist,03:46:43
222,223,30333,Andy Ross,03:46:47
